date,id,name,odd,supername,hypername
2023-08-23 12:08:10.315974,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-23 12:08:10.315974,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-23 12:08:10.315974,1843311789,Prachař David,20.0,,Vítěz
2023-08-24 12:08:18.107125,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-24 12:08:18.107125,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-24 12:08:18.107125,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-24 12:08:18.107125,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-24 12:08:18.107125,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-24 12:08:18.107125,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-24 12:08:18.107125,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-24 12:08:18.107125,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-24 12:08:18.107125,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-24 12:08:18.107125,1843311789,Prachař David,20.0,,Vítěz
2023-08-24 20:07:10.965444,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-24 20:07:10.965444,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-24 20:07:10.965444,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-24 20:07:10.965444,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-24 20:07:10.965444,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-24 20:07:10.965444,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-24 20:07:10.965444,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-24 20:07:10.965444,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-24 20:07:10.965444,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-24 20:07:10.965444,1843311789,Prachař David,20.0,,Vítěz
2023-08-27 20:06:53.207039,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-27 20:06:53.207039,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-27 20:06:53.207039,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-27 20:06:53.207039,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-27 20:06:53.207039,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-27 20:06:53.207039,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-27 20:06:53.207039,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-27 20:06:53.207039,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-27 20:06:53.207039,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-27 20:06:53.207039,1843311789,Prachař David,20.0,,Vítěz
2023-08-28 04:07:27.461465,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-28 04:07:27.461465,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-28 04:07:27.461465,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-28 04:07:27.461465,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-28 04:07:27.461465,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-28 04:07:27.461465,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-28 04:07:27.461465,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-28 04:07:27.461465,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-28 04:07:27.461465,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-28 04:07:27.461465,1843311789,Prachař David,20.0,,Vítěz
